"Местное время в Рязани";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.04.2025 18:00";"18.5";"739.7";"753.4";"-0.8";"43";"Ветер, дующий с западо-юго-запада";"1";"";"";"60%.";" ";"";"";"";"19.6";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.7";"Осадков нет";"12";"";"";"";"";
"25.04.2025 15:00";"19.1";"740.5";"754.2";"";"48";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.8";"";"";"";"";"";"";
"25.04.2025 12:00";"14.4";"";"";"";"68";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"25.04.2025 09:00";"12.1";"742.0";"756.0";"0.0";"68";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.3";"";"";"";"";"";"";
"25.04.2025 06:00";"9.4";"742.0";"756.1";"-1.7";"72";"Ветер, дующий с востока";"2";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.5";"0.3";"12";"Поверхность почвы влажная.";"9.0";"";"";
"25.04.2025 03:00";"10.6";"743.7";"757.8";"0.6";"66";"";"";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"Пониженная видимость.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"4.5";"";"";"";"";"";"";
"25.04.2025 00:00";"12.7";"743.1";"757.1";"-0.2";"56";"Ветер, дующий с северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.1";"";"";"";"";"";"";
"24.04.2025 21:00";"15.7";"743.3";"757.2";"0.5";"51";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"5.5";"";"";"";"";"";"";
"24.04.2025 18:00";"20.1";"742.8";"756.4";"-0.8";"40";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"";"21.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.2";"";"";"";"";"";"";
"24.04.2025 15:00";"20.5";"743.6";"757.3";"-0.8";"41";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"24.04.2025 12:00";"18.8";"744.4";"758.1";"-0.1";"48";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"24.04.2025 09:00";"15.0";"744.5";"758.5";"0.1";"73";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"24.04.2025 06:00";"12.8";"744.3";"758.3";"-0.1";"74";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"10.6";"";"";"";"";"";"";"";"8.2";"Осадков нет";"12";"";"";"";"";
"24.04.2025 03:00";"15.2";"744.4";"758.4";"-0.3";"57";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"24.04.2025 00:00";"15.1";"744.7";"758.6";"-0.6";"50";"Ветер, дующий с юго-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.6";"";"";"";"";"";"";
"23.04.2025 21:00";"16.4";"745.3";"759.2";"-0.3";"50";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.0";"";"";"";"";"";"";
"23.04.2025 18:00";"23.8";"745.6";"759.1";"-0.9";"28";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"26.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.0";"Осадков нет";"12";"";"";"";"";
"23.04.2025 15:00";"25.2";"746.5";"760.0";"-1.1";"25";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.9";"";"";"";"";"";"";
"23.04.2025 12:00";"24.2";"747.6";"761.2";"-0.7";"30";"Ветер, дующий с юго-юго-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"5.6";"";"";"";"";"";"";
"23.04.2025 09:00";"17.9";"748.3";"762.1";"-0.3";"52";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.9";"";"";"";"";"";"";
"23.04.2025 06:00";"11.7";"748.6";"762.7";"-0.1";"75";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"7.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"9.0";"";"";
"23.04.2025 03:00";"13.1";"748.7";"762.7";"-0.2";"66";"Ветер, дующий с востоко-северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.9";"";"";"";"";"";"";
"23.04.2025 00:00";"16.6";"748.9";"762.8";"0.4";"49";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"22.04.2025 21:00";"16.5";"748.5";"762.4";"0.7";"50";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.9";"";"";"";"";"";"";
"22.04.2025 18:00";"22.3";"747.8";"761.5";"-0.1";"30";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"26.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.8";"Осадков нет";"12";"";"";"";"";
"22.04.2025 15:00";"25.4";"747.9";"761.4";"-0.4";"19";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";
"22.04.2025 12:00";"25.2";"748.3";"761.8";"0.1";"21";"Ветер, дующий с западо-юго-запада";"4";"";"10";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"1.4";"";"";"";"";"";"";
"22.04.2025 09:00";"20.8";"748.2";"761.9";"0.1";"27";"Ветер, дующий с юго-запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"1.2";"";"";"";"";"";"";
"22.04.2025 06:00";"12.4";"748.1";"762.2";"0.2";"42";"Ветер, дующий с юга";"2";"";"";"20–30%.";" ";"";"";"11.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-0.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"8.0";"";"";
"22.04.2025 03:00";"13.2";"747.9";"762.0";"0.0";"38";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"22.04.2025 00:00";"14.9";"747.9";"761.9";"0.2";"34";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.9";"";"";"";"";"";"";
"21.04.2025 21:00";"18.4";"747.7";"761.5";"0.5";"27";"Ветер, дующий с юга";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.2";"";"";"";"";"";"";
"21.04.2025 18:00";"23.5";"747.2";"760.8";"-0.7";"20";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"25.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-0.7";"Осадков нет";"12";"";"";"";"";
"21.04.2025 15:00";"24.8";"747.9";"761.5";"-0.5";"16";"Ветер, дующий с юга";"4";"";"11";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-2.9";"";"";"";"";"";"";
"21.04.2025 12:00";"23.9";"748.4";"762.0";"-0.1";"17";"Ветер, дующий с юго-юго-запада";"4";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-3.0";"";"";"";"";"";"";
"21.04.2025 09:00";"19.8";"748.5";"762.3";"0.5";"25";"Ветер, дующий с юго-юго-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.7";"";"";"";"";"";"";
"21.04.2025 06:00";"12.6";"748.0";"762.1";"0.4";"36";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"-2.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"8.0";"";"";
"21.04.2025 03:00";"12.9";"747.6";"761.7";"0.3";"41";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.3";"";"";"";"";"";"";
"21.04.2025 00:00";"14.3";"747.3";"761.3";"0.3";"38";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.2";"";"";"";"";"";"";
"20.04.2025 21:00";"16.4";"747.0";"760.9";"0.5";"33";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.2";"";"";"";"";"";"";
"20.04.2025 18:00";"24.4";"746.5";"760.1";"-0.7";"14";"Ветер, дующий с западо-юго-запада";"3";"";"10";"10%  или менее, но не 0";" ";"";"";"";"25.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-4.9";"";"";"";"";"";"";
"20.04.2025 15:00";"25.8";"747.2";"760.6";"-0.6";"15";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-2.8";"";"";"";"";"";"";
"20.04.2025 12:00";"24.3";"747.8";"761.4";"-0.2";"21";"Ветер, дующий с западо-юго-запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"0.7";"";"";"";"";"";"";
"20.04.2025 09:00";"19.2";"748.0";"761.8";"0.3";"33";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"12.8";"";"";"";"";"";"";"10.0";"2.4";"";"";"";"";"";"";
"20.04.2025 06:00";"13.0";"747.7";"761.8";"0.0";"49";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"13.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"20.04.2025 03:00";"15.2";"747.7";"761.8";"0.2";"46";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.5";"";"";"";"";"";"";
"20.04.2025 00:00";"14.2";"747.5";"761.5";"0.1";"52";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.4";"";"";"";"";"";"";
"19.04.2025 21:00";"18.7";"747.4";"761.2";"0.0";"36";"Ветер, дующий с юго-юго-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.2";"";"";"";"";"";"";
"19.04.2025 18:00";"24.5";"747.4";"760.9";"-0.8";"24";"Ветер, дующий с западо-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"26.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.6";"Следы осадков";"12";"";"";"";"";
"19.04.2025 15:00";"25.8";"748.2";"761.7";"-0.7";"23";"Ветер, дующий с запада";"4";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.3";"";"";"";"";"";"";
"19.04.2025 12:00";"24.2";"748.9";"762.4";"-0.3";"29";"Ветер, дующий с западо-юго-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.0";"";"";"";"";"";"";
"19.04.2025 09:00";"18.1";"749.2";"763.0";"0.0";"53";"Ветер, дующий с юго-запада";"3";"";"";"10%  или менее, но не 0";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.3";"";"";"";"";"";"";
"19.04.2025 06:00";"11.7";"749.2";"763.4";"0.0";"97";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"11.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"11.3";"1.0";"12";"Поверхность почвы влажная.";"11.0";"";"";
"19.04.2025 03:00";"13.7";"749.2";"763.3";"0.2";"79";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"10.0";"";"";"";"";"";"";
"19.04.2025 00:00";"14.9";"749.0";"763.0";"-0.1";"66";"Ветер, дующий с юга";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.5";"";"";"";"";"";"";
"18.04.2025 21:00";"17.4";"749.1";"763.0";"0.1";"54";"Ветер, дующий с юга";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.0";"";"";"";"";"";"";
"18.04.2025 18:00";"23.4";"749.0";"762.6";"-1.1";"33";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"23.8";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.2";"Следы осадков";"12";"";"";"";"";
"18.04.2025 15:00";"23.1";"750.1";"763.8";"-1.1";"35";"Ветер, дующий с западо-юго-запада";"3";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.6";"";"";"";"";"";"";
"18.04.2025 12:00";"18.8";"751.2";"765.1";"-0.7";"48";"Ветер, дующий с юго-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"18.04.2025 09:00";"15.1";"751.9";"766.0";"-0.5";"61";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.5";"";"";"";"";"";"";
"18.04.2025 06:00";"11.5";"752.4";"766.6";"-0.3";"76";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"11.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.3";"1.0";"12";"Поверхность почвы влажная.";"10.0";"";"";
"18.04.2025 03:00";"12.6";"752.7";"766.9";"-0.4";"75";"Ветер, дующий с юга";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"8.3";"";"";"";"";"";"";
"18.04.2025 00:00";"14.6";"753.1";"767.2";"-0.3";"55";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.7";"";"";"";"";"";"";
